Region,Location,NERC Region,CO2e (metric ton/kWh),Source
Central US,Iowa,MRO,0.00047223,EPA
East US,Virginia,SERC,0.000415755,EPA
East US 2,Virginia,SERC,0.000415755,EPA
East US 3,Georgia,SERC,0.000415755,EPA
North Central US,Illinois,RFC,0.000440187,EPA
South Central US,Texas,TRE,0.000396293,EPA
West Central US,Wyoming,WECC,0.000350861,EPA
West US,California,WECC,0.000350861,EPA
West US 2,Washington,WECC,0.000350861,EPA
West US 3,Arizona,WECC,0.000350861,EPA
East Asia,Hong Kong,,0.00081,carbonfootprint.com
Southeast Asia,Singapore,,0.0004085,EMA Singapore
North Europe,Ireland,,0.000316,EEA
West Europe,Netherlands,,0.00039,EEA
Central India,Pune,,0.000708,carbonfootprint.com
South India,Chennai,,0.000708,carbonfootprint.com
West India,Mumbai,,0.000708,carbonfootprint.com
UK South,London,,0.000228,EEA
UK West,Cardiff,,0.000228,EEA
France Central,Paris,,0.000067,EEA
Finland Central,Helsinki,,0.000077,EEA,
Germany West Central,Frankfurt,,0.000402,EEA
Belgium Central,Brussels,,0.000154,EEA
Sweden Central,Gavle,,0.000009,EEA
France South,Marseille,,0.000058,EEA
Germany North,Berlin,,0.000348,EEA
Poland Central,Warsaw,,0.000721,EEA
Norway East,Oslo,,0.000027,nowtricity.com
Norway West,Stavanger,,0.000027,nowtricity.com
Switzerland North,Zürich,,0.000020,nowtricity.com
Switzerland West,Geneva,,0.000020,nowtricity.com
Sweden South,Staffanstorp,,0.000009,EEA
Uae Central,Abu Dhabi,,0.000404,carbonfootprint.com
Uae North,Dubai,,0.000404,carbonfootprint.com
South Africa North,Johannesburg,,0.000901,carbonfootprint.com
South Africa West,Cape Town,,0.000901,carbonfootprint.com
Qatar Central,Doha,,0.000490,statista.com
Australia Central,Canberra,,0.000760,carbonfootprint.com
Australia Central 2,Canberra,,0.000760,carbonfootprint.com
Australia East,New South Wales,,0.000760,carbonfootprint.com
Australia Southeast,Victoria,,0.000760,carbonfootprint.com
Brazil South,São Paulo State,,0.000062,carbonfootprint.com
Brazil Southeast,Rio de Janeiro,,0.000062,carbonfootprint.com
Canada Central,Toronto,,0.000120,carbonfootprint.com
Canada East,Quebec City,,0.000120,carbonfootprint.com
Japan East,Tokyo,,0.000466,carbonfootprint.com
Japan West,Osaka,,0.000466,carbonfootprint.com
Korea Central,Osaka,,0.000416,carbonfootprint.com
Korea South,Osaka,,0.000416,carbonfootprint.com
